GEOID,NAME,total_popE,total_popM,total_hhsE,total_hhsM,no_vehE,no_vehM,hh_1vehicleE,hh_1vehicleM,hh_2vehicleE,hh_2vehicleM,hh_3vehicleE,hh_3vehicleM,hh_4vehicle_plusE,hh_4vehicle_plusM,inc_lt_10kE,inc_lt_10kM,inc_btw_10k_15kE,inc_btw_10k_15kM,inc_btw_15k_20kE,inc_btw_15k_20kM,inc_btw_20k_25kE,inc_btw_20k_25kM,inc_btw_25k_30kE,inc_btw_25k_30kM,inc_btw_30k_35kE,inc_btw_30k_35kM,inc_btw_35k_40kE,inc_btw_35k_40kM,inc_btw_40k_45kE,inc_btw_40k_45kM,inc_btw_45k_50kE,inc_btw_45k_50kM,inc_btw_50k_60kE,inc_btw_50k_60kM,inc_btw_60k_75kE,inc_btw_60k_75kM,inc_btw_75k_100kE,inc_btw_75k_100kM,inc_btw_100k_125kE,inc_btw_100k_125kM,inc_btw_125k_150kE,inc_btw_125k_150kM,inc_btw_150k_200kE,inc_btw_150k_200kM,inc_gt_200kE,inc_gt_200kM,hh_1personE,hh_1personM,hh_2personE,hh_2personM,hh_3personE,hh_3personM,hh_4person_plusE,hh_4person_plusM,geometry,area,pop_den,pop_den1
12031013729,"Census Tract 137.29, Duval County, Florida",5053,665,1672,182,19,31,479,187,762,220,273,136,139,89,69,64,0,20,46,37,119,114,21,31,20,35,71,64,52,49,43,51,223,157,203,104,405,162,187,126,63,55,118,80,32,37,269,149,580,165,242,117,581,184,"list(list(c(-81.815424, -81.808487, -81.807955, -81.806536, -81.803674, -81.801361, -81.799184, -81.796928, -81.794425, -81.795307, -81.794222, -81.79394, -81.793445, -81.791266, -81.777321, -81.772808, -81.786159, -81.797902, -81.798007, -81.797987, -81.814903, -81.815424, 30.218618, 30.224349, 30.228191, 30.232839, 30.240171, 30.245176, 30.24757, 30.247661, 30.245481, 30.244651, 30.238139, 30.232997, 30.225551, 30.22367, 30.211639, 30.203902, 30.203677, 30.203717, 30.210977, 30.218289, 30.218256, 
30.218618)))",7319226.1662073,0.000690373529285047,690.3735292850473
12031001401,"Census Tract 14.01, Duval County, Florida",3001,661,1382,219,246,196,734,201,347,167,25,30,30,51,215,134,92,95,80,75,30,35,266,200,97,83,50,53,86,90,0,14,94,99,194,115,134,99,31,39,0,14,13,21,0,14,535,168,399,147,317,229,131,89,"list(list(c(-81.684231, -81.681464, -81.675102, -81.673774, -81.673381, -81.671119, -81.670112, -81.667778, -81.663697, -81.666095, -81.663039, -81.659318, -81.656918, -81.656831, -81.656805, -81.656732, -81.66292, -81.666124, -81.682725, -81.683266, -81.684231, 30.370245, 30.373681, 30.376671, 30.380106, 30.380412, 30.381028, 30.382105, 30.380198, 30.383642, 30.386105, 30.390517, 30.394938, 30.393638, 30.385753, 30.383098, 30.377613, 30.375558, 30.374456, 30.368963, 30.369534, 30.370245)))",2615203.62073165,0.00114752058929944,1147.5205892994354
12031010106,"Census Tract 101.06, Duval County, Florida",5935,568,1935,195,0,20,488,196,838,217,481,176,128,77,13,23,0,20,18,31,13,22,65,58,34,39,10,15,140,125,26,42,133,101,212,129,491,167,132,76,251,116,179,95,218,106,345,156,529,177,526,201,535,119,"list(list(c(-81.579368, -81.578824, -81.577481, -81.577231, -81.57598, -81.575529, -81.575552, -81.575553, -81.576677, -81.578201, -81.574185, -81.571331, -81.568416, -81.561086, -81.55177, -81.548508, -81.545653, -81.547367, -81.548503, -81.550602, -81.551558, -81.553805, -81.554105, -81.553962, -81.561207, -81.561558, -81.562559, -81.569216, -81.571232, -81.579014, -81.579368, 30.47065, 30.471708, 30.473565, 30.480809, 30.486553, 30.488628, 30.496997, 30.499085, 30.50189, 30.503654, 30.503933, 
30.503763, 30.502575, 30.502902, 30.502193, 30.501067, 30.500649, 30.495709, 30.490954, 30.488788, 30.474626, 30.471167, 30.469224, 30.464768, 30.462951, 30.461944, 30.462939, 30.462873, 30.46279, 30.460916, 30.47065)))",11243604.6391646,0.000527855629085955,527.8556290859547
12019030708,"Census Tract 307.08, Clay County, Florida",5145,1349,1401,293,0,20,302,173,808,297,183,100,108,75,0,20,0,20,0,20,0,20,22,36,0,20,0,20,68,109,168,150,45,51,108,78,574,293,205,144,50,58,98,102,63,76,186,153,243,148,330,173,642,304,"list(list(c(-81.76927, -81.75271, -81.748379, -81.746792, -81.74664, -81.743943, -81.74164, -81.741069, -81.743017, -81.74349, -81.745774, -81.750842, -81.752383, -81.753949, -81.761227, -81.76096, -81.76121, -81.7617, -81.76927, 30.10023, 30.10055, 30.099395, 30.099744, 30.099044, 30.095349, 30.093997, 30.092297, 30.089687, 30.089081, 30.079455, 30.079587, 30.078894, 30.078885, 30.080582, 30.08618, 30.08837, 30.08939, 30.10023)))",4275964.68833418,0.00120323725170995,1203.2372517099468
12031014331,"Census Tract 143.31, Duval County, Florida",5445,703,1807,156,93,79,610,154,779,183,237,85,88,74,77,47,65,73,90,87,89,70,100,84,104,84,128,76,75,78,58,45,55,49,137,90,130,91,261,121,225,107,76,53,137,69,399,124,522,124,390,121,496,156,"list(list(c(-81.459122, -81.456242, -81.455076, -81.448693, -81.443977, -81.443474, -81.438991, -81.438204, -81.437832, -81.437685, -81.448369, -81.458838, -81.459122, 30.301996, 30.302122, 30.302363, 30.30289, 30.303264, 30.302389, 30.299798, 30.298835, 30.295498, 30.28793, 30.287774, 30.287665, 30.301996)))",3232983.04394453,0.0016842030799384,1684.2030799383997
12031016200,"Census Tract 162, Duval County, Florida",2582,375,1126,169,146,61,516,154,308,126,74,32,82,35,79,43,10,11,65,59,59,40,70,41,135,110,83,63,54,34,73,44,144,63,100,42,123,63,65,34,23,23,39,59,4,6,482,146,343,112,129,61,172,47,"list(list(c(-81.632832, -81.629881, -81.623853, -81.621493, -81.621059, -81.620681, -81.612228, -81.618387, -81.620394, -81.629144, -81.63562, -81.632832, 30.28815, 30.290618, 30.284992, 30.282334, 30.281778, 30.281264, 30.269334, 30.266205, 30.264938, 30.277464, 30.286642, 30.28815)))",2492879.25807476,0.00103575012373205,1035.7501237320523
12031000200,"Census Tract 2, Duval County, Florida",2437,404,1055,139,243,84,558,117,144,51,41,26,69,99,197,93,193,83,44,24,69,41,90,49,94,50,68,43,42,27,98,103,52,33,31,28,59,35,12,20,0,14,6,8,0,14,531,138,202,56,185,83,137,54,"list(list(c(-81.649977, -81.645, -81.64379, -81.641092, -81.641881, -81.640116, -81.639579, -81.63776, -81.626417, -81.620128, -81.614516, -81.614116, -81.619915, -81.619556, -81.624132, -81.625396, -81.625998, -81.63732, -81.638594, -81.641167, -81.64923, -81.649089, -81.649977, 30.364315, 30.364402, 30.364966, 30.367339, 30.370597, 30.372208, 30.371742, 30.371222, 30.371939, 30.366784, 30.362539, 30.355039, 30.354879, 30.35666, 30.356986, 30.354897, 30.354711, 30.354585, 30.355791, 30.356253, 30.356045, 
30.363164, 30.364315)))",4853090.08617288,0.00050215428865484,502.15428865484034
12031010308,"Census Tract 103.08, Duval County, Florida",5067,786,1917,234,140,109,648,201,643,262,374,142,112,88,0,20,68,70,116,71,30,37,107,77,13,22,61,56,266,139,62,94,129,83,320,150,394,232,149,77,95,63,73,69,34,41,636,170,591,230,394,139,296,96,"list(list(c(-81.671786, -81.671079, -81.669466, -81.669428, -81.669435, -81.659384, -81.659375, -81.659279, -81.657103, -81.657296, -81.660209, -81.660299, -81.660208, -81.658333, -81.658239, -81.667533, -81.67159, -81.671802, -81.671786, 30.443762, 30.446451, 30.452188, 30.459909, 30.460145, 30.460093, 30.459807, 30.458117, 30.445757, 30.444904, 30.439809, 30.438547, 30.435002, 30.433153, 30.42998, 30.429851, 30.429812, 30.439108, 30.443762)))",3891697.61714903,0.00130200249312072,1302.00249312072
12031016711,"Census Tract 167.11, Duval County, Florida",4568,806,1694,211,79,51,310,79,1025,243,162,92,118,62,27,24,17,18,76,44,35,30,8,13,29,25,46,40,7,12,30,23,81,41,130,64,144,62,153,64,236,196,230,100,445,107,297,67,648,109,509,222,240,96,"list(list(c(-81.679573, -81.650715, -81.622116, -81.617432, -81.617607, -81.617471, -81.61737, -81.617191, -81.61714, -81.617532, -81.621282, -81.622654, -81.626989, -81.627098, -81.628262, -81.628618, -81.628436, -81.635033, -81.643637, -81.646586, -81.651222, -81.657678, -81.679573, 30.190838, 30.22354, 30.21594, 30.21624, 30.21422, 30.211606, 30.209419, 30.205699, 30.203834, 30.202462, 30.197538, 30.195772, 30.190104, 30.189888, 30.185589, 30.183467, 30.181603, 30.184209, 30.18783, 30.188701, 
30.189347, 30.189673, 30.190838)))",16016528.1590343,0.000285205380007613,285.20538000761275
12031016724,"Census Tract 167.24, Duval County, Florida",5036,652,2646,309,139,136,1493,334,918,202,96,86,0,20,189,116,9,16,53,67,73,62,36,62,171,113,225,122,207,146,68,63,457,193,194,123,371,180,188,128,93,94,176,136,136,107,1129,298,1076,291,307,173,134,87,"list(list(c(-81.617607, -81.617432, -81.612476, -81.612302, -81.599871, -81.592859, -81.592762, -81.592272, -81.596656, -81.59953, -81.602385, -81.602447, -81.600534, -81.600236, -81.617191, -81.61737, -81.617471, -81.617607, 30.21422, 30.21624, 30.215819, 30.218425, 30.220494, 30.220655, 30.21926, 30.218632, 30.215257, 30.214255, 30.214459, 30.212602, 30.210945, 30.205929, 30.205699, 30.209419, 30.211606, 30.21422)))",2628179.99003319,0.00191615491294278,1916.1549129427754
12031013904,"Census Tract 139.04, Duval County, Florida",4430,668,1969,368,151,76,1036,389,606,146,108,64,68,53,42,34,103,64,30,23,86,70,100,74,49,36,188,125,130,78,180,98,280,95,101,49,457,328,112,66,40,35,41,47,30,29,753,340,715,163,254,95,247,89,"list(list(c(-81.428268, -81.427467, -81.425746, -81.428346, -81.417632, -81.410528, -81.413597, -81.413661, -81.413715, -81.420303, -81.422981, -81.422506, -81.428375, -81.428268, 30.363172, 30.365894, 30.366139, 30.368224, 30.367934, 30.370744, 30.355337, 30.354935, 30.35364, 30.353447, 30.35374, 30.358128, 30.358225, 30.363172)))",2217164.05465512,0.00199804790750547,1998.0479075054677
12031001300,"Census Tract 13, Duval County, Florida",3616,760,1496,211,602,183,630,163,181,69,68,90,15,23,267,144,234,117,78,60,152,114,126,81,174,103,95,111,26,24,45,34,93,70,94,63,44,45,30,31,38,49,0,14,0,14,670,169,309,105,195,101,322,181,"list(list(c(-81.668714, -81.665197, -81.660273, -81.657551, -81.657145, -81.656621, -81.656636, -81.653967, -81.652949, -81.651044, -81.649977, -81.649089, -81.64923, -81.649044, -81.653758, -81.656858, -81.661228, -81.661283, -81.661308, -81.668475, -81.668714, 30.364935, 30.364298, 30.362047, 30.361273, 30.363676, 30.366593, 30.368368, 30.366093, 30.365628, 30.364316, 30.364315, 30.363164, 30.356045, 30.351066, 30.351356, 30.351057, 30.351483, 30.354924, 30.356373, 30.356093, 30.364935)))",2298605.4606891,0.00157312773411578,1573.127734115781
12109020903,"Census Tract 209.03, St. Johns County, Florida",3914,745,1379,236,0,14,476,206,769,182,121,97,13,23,20,26,38,45,46,58,15,27,10,18,44,52,0,14,81,59,120,88,110,71,237,133,148,77,239,131,36,43,223,182,12,20,311,140,462,149,277,101,329,167,"list(list(c(-81.365017, -81.343932, -81.344871, -81.344162, -81.343087, -81.335352, -81.334974, -81.329466, -81.328774, -81.325051, -81.324556, -81.328077, -81.329452, -81.334068, -81.33525, -81.34035, -81.346363, -81.360757, -81.360819, -81.361355, -81.364458, -81.365017, 29.930867, 29.931283, 29.936731, 29.93818, 29.938985, 29.940218, 29.940381, 29.931295, 29.930175, 29.923975, 29.916831, 29.916182, 29.915951, 29.914963, 29.914845, 29.91601, 29.916281, 29.91614, 29.921185, 29.924508, 29.928687, 
29.930867)))",6974276.54081456,0.000561205162584916,561.2051625849157
12031011500,"Census Tract 115, Duval County, Florida",4146,854,1601,205,471,137,635,166,427,197,49,40,19,27,208,102,189,89,147,93,101,64,81,59,86,56,21,24,148,130,97,65,267,182,107,64,38,34,42,37,33,45,27,29,9,14,613,168,361,159,300,110,327,202,"list(list(c(-81.699162, -81.69697, -81.690819, -81.679261, -81.6777, -81.674306, -81.672844, -81.673507, -81.673774, -81.675102, -81.681464, -81.684231, -81.685824, -81.698858, -81.698991, -81.699162, 30.378837, 30.379296, 30.384173, 30.390946, 30.388551, 30.384267, 30.382763, 30.381556, 30.380106, 30.376671, 30.373681, 30.370245, 30.368091, 30.36478, 30.371552, 30.378837)))",4134068.56358527,0.0010028861244634,1002.8861244633974
12031015928,"Census Tract 159.28, Duval County, Florida",1884,569,1198,415,36,62,906,410,256,158,0,14,0,14,207,316,21,45,0,14,106,166,47,71,0,14,92,98,0,14,24,43,35,58,0,14,265,181,305,177,69,62,6,17,21,35,812,424,263,182,20,34,103,105,"list(list(c(-81.575795, -81.565409, -81.563613, -81.561613, -81.560164, -81.556148, -81.554136, -81.552534, -81.570275, -81.574324, -81.574311, -81.575795, 30.253563, 30.253918, 30.255101, 30.258448, 30.259513, 30.2601, 30.255614, 30.250113, 30.250046, 30.250503, 30.250998, 30.253563)))",1359096.17286608,0.00138621536695744,1386.215366957435
12109021103,"Census Tract 211.03, St. Johns County, Florida",2325,278,793,87,14,17,350,84,251,78,84,39,94,45,67,51,32,26,12,13,24,21,86,66,49,36,66,44,34,34,14,13,21,19,91,42,102,51,40,29,70,33,28,16,57,42,219,79,251,64,124,72,199,59,"list(list(c(-81.395138, -81.386076, -81.383404, -81.367838, -81.367341, -81.366897, -81.359722, -81.358282, -81.354353, -81.35123, -81.344118, -81.350856, -81.35801, -81.361037, -81.379261, -81.391242, -81.391969, -81.395138, 29.861354, 29.862293, 29.863146, 29.872524, 29.872915, 29.873439, 29.884577, 29.885721, 29.887286, 29.880601, 29.863734, 29.859272, 29.850996, 29.847442, 29.825491, 29.849641, 29.851291, 29.861354)))",14668415.784551,0.000158503824417681,158.50382441768056
12019031108,"Census Tract 311.08, Clay County, Florida",1356,295,597,97,48,30,274,88,164,49,83,35,28,21,61,36,43,59,29,22,35,23,33,35,44,30,51,34,38,30,27,28,54,23,52,30,46,25,0,14,21,17,54,49,9,11,182,45,268,91,60,28,87,53,"list(list(c(-82.047415, -82.038965, -82.038939, -82.030201, -82.029267, -82.01702, -82.00446, -82.01173, -82.01559, -82.02578, -82.028689, -82.029871, -82.03107, -82.03131, -82.035989, -82.046649, -82.046818, -82.04651, -82.046792, -82.046504, -82.046862, -82.047415, 29.864887, 29.86481, 29.85089, 29.85061, 29.813032, 29.81286, 29.81304, 29.80704, 29.80371, 29.79267, 29.789191, 29.787738, 29.78625, 29.78573, 29.788605, 29.795152, 29.798157, 29.813389, 29.8168, 29.819594, 29.827462, 29.864887)))",15466798.8504324,8.76716645191316e-05,87.67166451913162
12031000102,"Census Tract 1.02, Duval County, Florida",3487,560,1390,201,258,164,504,201,438,150,19,30,171,189,406,163,88,88,218,194,0,14,56,47,23,43,17,38,3,13,161,147,107,96,36,46,113,100,62,90,52,51,0,14,48,71,508,243,482,143,155,142,245,141,"list(list(c(-81.656831, -81.650158, -81.647939, -81.640798, -81.64088, -81.641625, -81.641359, -81.645071, -81.646958, -81.650864, -81.651439, -81.652949, -81.653967, -81.656636, -81.65664, -81.656732, -81.656805, -81.656831, 30.385753, 30.380586, 30.38895, 30.385805, 30.38512, 30.378963, 30.377654, 30.377751, 30.377193, 30.377902, 30.37128, 30.365628, 30.366093, 30.368368, 30.370427, 30.377613, 30.383098, 30.385753)))",1857733.5327259,0.00187701838749901,1877.0183874990105
12031000700,"Census Tract 7, Duval County, Florida",4831,655,1836,195,36,33,786,214,783,112,154,62,77,44,38,35,15,18,37,32,28,24,226,138,49,38,113,89,32,33,113,70,146,97,90,50,161,66,123,69,124,65,142,71,399,98,595,143,533,112,303,95,405,146,"list(list(c(-81.668172, -81.668017, -81.659043, -81.651321, -81.649768, -81.645149, -81.642669, -81.63562, -81.638985, -81.643821, -81.643997, -81.644061, -81.648589, -81.648991, -81.650907, -81.65102, -81.651837, -81.652074, -81.652617, -81.65434, -81.65479, -81.656028, -81.657271, -81.66172, -81.658818, -81.668217, -81.668172, 30.295981, 30.301339, 30.305223, 30.308702, 30.306612, 30.300062, 30.296622, 30.286642, 30.285014, 30.284762, 30.289202, 30.290491, 30.291235, 30.289662, 30.284647, 30.284011, 
30.284172, 30.283682, 30.283454, 30.283906, 30.284069, 30.284787, 30.285893, 30.287501, 30.29278, 30.294439, 30.295981)))",4601596.65064975,0.0010498529894657,1049.852989465701
12031002102,"Census Tract 21.02, Duval County, Florida",2138,227,1180,134,65,47,693,145,285,90,93,72,44,34,70,56,13,14,22,21,0,14,105,74,31,27,52,48,45,40,58,43,88,51,85,65,208,99,66,50,23,27,97,85,217,73,576,124,399,114,155,86,50,33,"list(list(c(-81.703107, -81.701165, -81.698015, -81.695308, -81.693663, -81.690478, -81.676617, -81.677403, -81.684118, -81.699546, -81.701954, -81.706236, -81.703107, 30.303113, 30.303929, 30.30699, 30.309629, 30.310572, 30.306203, 30.288739, 30.288162, 30.283239, 30.29607, 30.298436, 30.302063, 30.303113)))",3552902.16506749,0.00060176157424796,601.7615742479599
12031015200,"Census Tract 152, Duval County, Florida",3567,540,1492,315,30,34,720,266,614,198,128,84,0,14,131,114,37,49,31,32,126,68,54,54,111,82,36,30,23,25,138,133,310,243,200,103,124,84,120,91,0,14,29,30,22,27,420,273,672,198,186,101,214,105,"list(list(c(-81.602615, -81.602625, -81.602656, -81.602178, -81.599211, -81.596794, -81.594798, -81.589504, -81.589354, -81.589337, -81.590535, -81.597349, -81.598631, -81.602584, -81.602737, -81.602615, 30.350982, 30.351485, 30.351602, 30.351638, 30.35169, 30.351726, 30.351763, 30.351852, 30.34484, 30.344016, 30.342353, 30.342142, 30.34227, 30.340104, 30.346245, 30.350982)))",1376948.54611663,0.00259051074207523,2590.510742075227
